split,basket_size,label,rows,total_net_pnl,mean_trade_pnl,win_rate,annualized_sharpe,max_drawdown,num_days,selected_nodes
train,3,Train top 3 nodes,517,2656.85,5.14,49.7,3.42,-752.68,43,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1"
test,3,Test top 3 train-selected nodes,362,3770.77,10.42,68.2,6.93,-187.81,34,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1"
train,5,Train top 5 nodes,764,3430.86,4.49,49.3,3.04,-938.67,43,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2"
test,5,Test top 5 train-selected nodes,567,5540.21,9.77,66.5,7.89,-311.23,34,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2"
train,10,Train top 10 nodes,1538,4169.48,2.71,46.9,2.45,-2623.92,44,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2"
test,10,Test top 10 train-selected nodes,1476,16715.19,11.32,68.0,8.39,-534.72,43,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2"
train,15,Train top 15 nodes,2282,4330.27,1.9,44.1,2.26,-3278.72,44,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2,CALLAHA_WND1,BRTSW_BCW1,DSWL_BES1,CARRIZO_ESR1,BRAZ_WND_ALL"
test,15,Test top 15 train-selected nodes,2548,26677.3,10.47,66.8,9.25,-759.61,44,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2,CALLAHA_WND1,BRTSW_BCW1,DSWL_BES1,CARRIZO_ESR1,BRAZ_WND_ALL"
train,20,Train top 20 nodes,2958,3937.81,1.33,43.9,1.71,-3909.56,44,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2,CALLAHA_WND1,BRTSW_BCW1,DSWL_BES1,CARRIZO_ESR1,BRAZ_WND_ALL,CALAVER_JKS1,AMO_AMOCO_S2,DDPEC_GT6,B_D_B_DAVIG2,CPSES_UNIT2"
test,20,Test top 20 train-selected nodes,3082,34403.31,11.16,66.5,8.56,-989.79,44,"BVE_UNIT3,BVE_UNIT2,B_D_B_DAVIG1,BVE_UNIT1,AMO_AMOCO_G2,CALAVER_OWS2,CARBN_BSP_1,BRA_AVR1_CT2,CPSES_UNIT1,BRAUNIG_VHB2,CALLAHA_WND1,BRTSW_BCW1,DSWL_BES1,CARRIZO_ESR1,BRAZ_WND_ALL,CALAVER_JKS1,AMO_AMOCO_S2,DDPEC_GT6,B_D_B_DAVIG2,CPSES_UNIT2"
